,age,income,membership_days,gender_F,gender_M,gender_O,offer_completed_after_view,reward,difficulty,duration,offer_type,email,mobile,social,web
3472,64.0,56000.0,231,0,1,0,True,3.0,7.0,7.0,discount,1.0,1.0,1.0,1.0
9549,52.0,32000.0,297,0,1,0,True,3.0,7.0,7.0,discount,1.0,1.0,1.0,1.0
8861,90.0,56000.0,229,0,1,0,False,10.0,10.0,5.0,bogo,1.0,1.0,1.0,1.0
1981,62.0,88000.0,31,1,0,0,False,2.0,10.0,7.0,discount,1.0,1.0,0.0,1.0
43680,71.0,57000.0,1158,0,1,0,False,0.0,0.0,4.0,informational,1.0,1.0,0.0,1.0
14162,39.0,42000.0,416,0,1,0,False,0.0,0.0,3.0,informational,1.0,1.0,1.0,0.0
11176,24.0,56000.0,195,1,0,0,False,5.0,20.0,10.0,discount,1.0,0.0,0.0,1.0
6903,76.0,62000.0,238,0,1,0,False,0.0,0.0,4.0,informational,1.0,1.0,0.0,1.0
32472,52.0,71000.0,1144,0,1,0,True,5.0,20.0,10.0,discount,1.0,0.0,0.0,1.0
44381,57.0,31000.0,922,1,0,0,False,0.0,0.0,3.0,informational,1.0,1.0,1.0,0.0
17398,57.0,81000.0,125,1,0,0,True,10.0,10.0,5.0,bogo,1.0,1.0,1.0,1.0
14091,60.0,68000.0,317,0,1,0,True,3.0,7.0,7.0,discount,1.0,1.0,1.0,1.0
1730,52.0,114000.0,359,1,0,0,True,10.0,10.0,7.0,bogo,1.0,1.0,1.0,0.0
38040,55.0,48000.0,128,0,1,0,False,10.0,10.0,7.0,bogo,1.0,1.0,1.0,0.0
31016,53.0,39000.0,324,0,1,0,False,10.0,10.0,5.0,bogo,1.0,1.0,1.0,1.0
25863,58.0,102000.0,26,1,0,0,False,2.0,10.0,10.0,discount,1.0,1.0,1.0,1.0
2438,47.0,69000.0,647,0,1,0,True,2.0,10.0,10.0,discount,1.0,1.0,1.0,1.0
43095,57.0,106000.0,374,1,0,0,True,10.0,10.0,5.0,bogo,1.0,1.0,1.0,1.0
12349,59.0,68000.0,1765,0,1,0,True,2.0,10.0,10.0,discount,1.0,1.0,1.0,1.0
36660,53.0,96000.0,451,0,1,0,True,10.0,10.0,7.0,bogo,1.0,1.0,1.0,0.0
29245,40.0,62000.0,295,1,0,0,False,10.0,10.0,7.0,bogo,1.0,1.0,1.0,0.0
44581,71.0,85000.0,844,1,0,0,False,2.0,10.0,7.0,discount,1.0,1.0,0.0,1.0
12084,69.0,57000.0,986,0,1,0,True,3.0,7.0,7.0,discount,1.0,1.0,1.0,1.0
20172,59.0,51000.0,96,1,0,0,False,5.0,5.0,7.0,bogo,1.0,1.0,0.0,1.0
13980,55.0,78000.0,768,1,0,0,True,2.0,10.0,10.0,discount,1.0,1.0,1.0,1.0
30470,69.0,34000.0,1093,0,1,0,False,10.0,10.0,5.0,bogo,1.0,1.0,1.0,1.0
2022,23.0,65000.0,1468,0,1,0,False,2.0,10.0,7.0,discount,1.0,1.0,0.0,1.0
21609,45.0,35000.0,225,0,1,0,True,2.0,10.0,7.0,discount,1.0,1.0,0.0,1.0
10874,58.0,64000.0,871,1,0,0,True,10.0,10.0,5.0,bogo,1.0,1.0,1.0,1.0
43473,78.0,46000.0,797,0,1,0,True,10.0,10.0,7.0,bogo,1.0,1.0,1.0,0.0
32217,40.0,48000.0,185,0,1,0,False,10.0,10.0,5.0,bogo,1.0,1.0,1.0,1.0
16295,82.0,65000.0,320,1,0,0,True,2.0,10.0,10.0,discount,1.0,1.0,1.0,1.0
